 table_catalog | table_schema |      table_name      |        column_name         | ordinal_position | column_default | is_nullable | data_type | character_maximum_length | character_octet_length | numeric_precision | numeric_precision_radix | numeric_scale | datetime_precision | interval_type | interval_precision | character_set_catalog | character_set_schema | character_set_name | collation_catalog | collation_schema | collation_name | domain_catalog | domain_schema | domain_name | udt_catalog | udt_schema | udt_name | scope_catalog | scope_schema | scope_name | maximum_cardinality | dtd_identifier | is_self_referencing | is_identity | identity_generation | identity_start | identity_increment | identity_maximum | identity_minimum | identity_cycle | is_generated | generation_expression | is_updatable 
---------------+--------------+----------------------+----------------------------+------------------+----------------+-------------+-----------+--------------------------+------------------------+-------------------+-------------------------+---------------+--------------------+---------------+--------------------+-----------------------+----------------------+--------------------+-------------------+------------------+----------------+----------------+---------------+-------------+-------------+------------+----------+---------------+--------------+------------+---------------------+----------------+---------------------+-------------+---------------------+----------------+--------------------+------------------+------------------+----------------+--------------+-----------------------+--------------
 ihw_data      | public       | annual_waste_summary | form_registration          |                1 |                | YES         | text      |                          |             1073741824 |                   |                         |               |                    |               |                    |                       |                      |                    |                   |                  |                |                |               |             | ihw_data    | pg_catalog | text     |               |              |            |                     | 1              | NO                  | NO          |                     |                |                    |                  |                  | NO             | NEVER        |                       | YES
 ihw_data      | public       | annual_waste_summary | report_year                |                2 |                | YES         | text      |                          |             1073741824 |                   |                         |               |                    |               |                    |                       |                      |                    |                   |                  |                |                |               |             | ihw_data    | pg_catalog | text     |               |              |            |                     | 2              | NO                  | NO          |                     |                |                    |                  |                  | NO             | NEVER        |                       | YES
 ihw_data      | public       | annual_waste_summary | p_quantity_generated       |                3 |                | YES         | text      |                          |             1073741824 |                   |                         |               |                    |               |                    |                       |                      |                    |                   |                  |                |                |               |             | ihw_data    | pg_catalog | text     |               |              |            |                     | 3              | NO                  | NO          |                     |                |                    |                  |                  | NO             | NEVER        |                       | YES
 ihw_data      | public       | annual_waste_summary | p_quantity_handled         |                4 |                | YES         | text      |                          |             1073741824 |                   |                         |               |                    |               |                    |                       |                      |                    |                   |                  |                |                |               |             | ihw_data    | pg_catalog | text     |               |              |            |                     | 4              | NO                  | NO          |                     |                |                    |                  |                  | NO             | NEVER        |                       | YES
 ihw_data      | public       | annual_waste_summary | report_required            |                5 |                | YES         | boolean   |                          |                        |                   |                         |               |                    |               |                    |                       |                      |                    |                   |                  |                |                |               |             | ihw_data    | pg_catalog | bool     |               |              |            |                     | 5              | NO                  | NO          |                     |                |                    |                  |                  | NO             | NEVER        |                       | YES
 ihw_data      | public       | annual_waste_summary | hazardous_waste_flag       |                6 |                | YES         | boolean   |                          |                        |                   |                         |               |                    |               |                    |                       |                      |                    |                   |                  |                |                |               |             | ihw_data    | pg_catalog | bool     |               |              |            |                     | 6              | NO                  | NO          |                     |                |                    |                  |                  | NO             | NEVER        |                       | YES
 ihw_data      | public       | annual_waste_summary | acute_hazardous_waste_flag |                7 |                | YES         | boolean   |                          |                        |                   |                         |               |                    |               |                    |                       |                      |                    |                   |                  |                |                |               |             | ihw_data    | pg_catalog | bool     |               |              |            |                     | 7              | NO                  | NO          |                     |                |                    |                  |                  | NO             | NEVER        |                       | YES
 ihw_data      | public       | annual_waste_summary | waste_code                 |                8 |                | YES         | text      |                          |             1073741824 |                   |                         |               |                    |               |                    |                       |                      |                    |                   |                  |                |                |               |             | ihw_data    | pg_catalog | text     |               |              |            |                     | 8              | NO                  | NO          |                     |                |                    |                  |                  | NO             | NEVER        |                       | YES
 ihw_data      | public       | annual_waste_summary | handling_code              |                9 |                | YES         | text      |                          |             1073741824 |                   |                         |               |                    |               |                    |                       |                      |                    |                   |                  |                |                |               |             | ihw_data    | pg_catalog | text     |               |              |            |                     | 9              | NO                  | NO          |                     |                |                    |                  |                  | NO             | NEVER        |                       | YES
 ihw_data      | public       | annual_waste_summary | facility_number            |               10 |                | YES         | text      |                          |             1073741824 |                   |                         |               |                    |               |                    |                       |                      |                    |                   |                  |                |                |               |             | ihw_data    | pg_catalog | text     |               |              |            |                     | 10             | NO                  | NO          |                     |                |                    |                  |                  | NO             | NEVER        |                       | YES
 ihw_data      | public       | annual_waste_summary | epa_id                     |               11 |                | YES         | text      |                          |             1073741824 |                   |                         |               |                    |               |                    |                       |                      |                    |                   |                  |                |                |               |             | ihw_data    | pg_catalog | text     |               |              |            |                     | 11             | NO                  | NO          |                     |                |                    |                  |                  | NO             | NEVER        |                       | YES
 ihw_data      | public       | annual_waste_summary | record_date                |               12 |                | YES         | text      |                          |             1073741824 |                   |                         |               |                    |               |                    |                       |                      |                    |                   |                  |                |                |               |             | ihw_data    | pg_catalog | text     |               |              |            |                     | 12             | NO                  | NO          |                     |                |                    |                  |                  | NO             | NEVER        |                       | YES
 ihw_data      | public       | annual_waste_summary | reporting_method           |               13 |                | YES         | text      |                          |             1073741824 |                   |                         |               |                    |               |                    |                       |                      |                    |                   |                  |                |                |               |             | ihw_data    | pg_catalog | text     |               |              |            |                     | 13             | NO                  | NO          |                     |                |                    |                  |                  | NO             | NEVER        |                       | YES
 ihw_data      | public       | annual_waste_summary | form_submitter             |               14 |                | YES         | text      |                          |             1073741824 |                   |                         |               |                    |               |                    |                       |                      |                    |                   |                  |                |                |               |             | ihw_data    | pg_catalog | text     |               |              |            |                     | 14             | NO                  | NO          |                     |                |                    |                  |                  | NO             | NEVER        |                       | YES
 ihw_data      | public       | annual_waste_summary | receiver_comments          |               15 |                | YES         | text      |                          |             1073741824 |                   |                         |               |                    |               |                    |                       |                      |                    |                   |                  |                |                |               |             | ihw_data    | pg_catalog | text     |               |              |            |                     | 15             | NO                  | NO          |                     |                |                    |                  |                  | NO             | NEVER        |                       | YES
 ihw_data      | public       | annual_waste_summary | exemption_code             |               16 |                | YES         | text      |                          |             1073741824 |                   |                         |               |                    |               |                    |                       |                      |                    |                   |                  |                |                |               |             | ihw_data    | pg_catalog | text     |               |              |            |                     | 16             | NO                  | NO          |                     |                |                    |                  |                  | NO             | NEVER        |                       | YES
 ihw_data      | public       | annual_waste_summary | exemption_resolution_code  |               17 |                | YES         | text      |                          |             1073741824 |                   |                         |               |                    |               |                    |                       |                      |                    |                   |                  |                |                |               |             | ihw_data    | pg_catalog | text     |               |              |            |                     | 17             | NO                  | NO          |                     |                |                    |                  |                  | NO             | NEVER        |                       | YES
(17 rows)

