 table_catalog | table_schema |   table_name   |         column_name          | ordinal_position | column_default | is_nullable | data_type | character_maximum_length | character_octet_length | numeric_precision | numeric_precision_radix | numeric_scale | datetime_precision | interval_type | interval_precision | character_set_catalog | character_set_schema | character_set_name | collation_catalog | collation_schema | collation_name | domain_catalog | domain_schema | domain_name | udt_catalog | udt_schema | udt_name | scope_catalog | scope_schema | scope_name | maximum_cardinality | dtd_identifier | is_self_referencing | is_identity | identity_generation | identity_start | identity_increment | identity_maximum | identity_minimum | identity_cycle | is_generated | generation_expression | is_updatable 
---------------+--------------+----------------+------------------------------+------------------+----------------+-------------+-----------+--------------------------+------------------------+-------------------+-------------------------+---------------+--------------------+---------------+--------------------+-----------------------+----------------------+--------------------+-------------------+------------------+----------------+----------------+---------------+-------------+-------------+------------+----------+---------------+--------------+------------+---------------------+----------------+---------------------+-------------+---------------------+----------------+--------------------+------------------+------------------+----------------+--------------+-----------------------+--------------
 ihw_data      | public       | nor_facilities | swr_num_txt                  |                1 |                | YES         | text      |                          |             1073741824 |                   |                         |               |                    |               |                    |                       |                      |                    |                   |                  |                |                |               |             | ihw_data    | pg_catalog | text     |               |              |            |                     | 1              | NO                  | NO          |                     |                |                    |                  |                  | NO             | NEVER        |                       | YES
 ihw_data      | public       | nor_facilities | rn_num_txt                   |                2 |                | YES         | text      |                          |             1073741824 |                   |                         |               |                    |               |                    |                       |                      |                    |                   |                  |                |                |               |             | ihw_data    | pg_catalog | text     |               |              |            |                     | 2              | NO                  | NO          |                     |                |                    |                  |                  | NO             | NEVER        |                       | YES
 ihw_data      | public       | nor_facilities | facility_site_name           |                3 |                | YES         | text      |                          |             1073741824 |                   |                         |               |                    |               |                    |                       |                      |                    |                   |                  |                |                |               |             | ihw_data    | pg_catalog | text     |               |              |            |                     | 3              | NO                  | NO          |                     |                |                    |                  |                  | NO             | NEVER        |                       | YES
 ihw_data      | public       | nor_facilities | facility_status              |                4 |                | YES         | text      |                          |             1073741824 |                   |                         |               |                    |               |                    |                       |                      |                    |                   |                  |                |                |               |             | ihw_data    | pg_catalog | text     |               |              |            |                     | 4              | NO                  | NO          |                     |                |                    |                  |                  | NO             | NEVER        |                       | YES
 ihw_data      | public       | nor_facilities | phys_loc_desc_txt            |                5 |                | YES         | text      |                          |             1073741824 |                   |                         |               |                    |               |                    |                       |                      |                    |                   |                  |                |                |               |             | ihw_data    | pg_catalog | text     |               |              |            |                     | 5              | NO                  | NO          |                     |                |                    |                  |                  | NO             | NEVER        |                       | YES
 ihw_data      | public       | nor_facilities | site_deliv_txt               |                6 |                | YES         | text      |                          |             1073741824 |                   |                         |               |                    |               |                    |                       |                      |                    |                   |                  |                |                |               |             | ihw_data    | pg_catalog | text     |               |              |            |                     | 6              | NO                  | NO          |                     |                |                    |                  |                  | NO             | NEVER        |                       | YES
 ihw_data      | public       | nor_facilities | site_city_name               |                7 |                | YES         | text      |                          |             1073741824 |                   |                         |               |                    |               |                    |                       |                      |                    |                   |                  |                |                |               |             | ihw_data    | pg_catalog | text     |               |              |            |                     | 7              | NO                  | NO          |                     |                |                    |                  |                  | NO             | NEVER        |                       | YES
 ihw_data      | public       | nor_facilities | site_county_name             |                8 |                | YES         | text      |                          |             1073741824 |                   |                         |               |                    |               |                    |                       |                      |                    |                   |                  |                |                |               |             | ihw_data    | pg_catalog | text     |               |              |            |                     | 8              | NO                  | NO          |                     |                |                    |                  |                  | NO             | NEVER        |                       | YES
 ihw_data      | public       | nor_facilities | site_usps_state_cd           |                9 |                | YES         | text      |                          |             1073741824 |                   |                         |               |                    |               |                    |                       |                      |                    |                   |                  |                |                |               |             | ihw_data    | pg_catalog | text     |               |              |            |                     | 9              | NO                  | NO          |                     |                |                    |                  |                  | NO             | NEVER        |                       | YES
 ihw_data      | public       | nor_facilities | site_zip_cd                  |               10 |                | YES         | text      |                          |             1073741824 |                   |                         |               |                    |               |                    |                       |                      |                    |                   |                  |                |                |               |             | ihw_data    | pg_catalog | text     |               |              |            |                     | 10             | NO                  | NO          |                     |                |                    |                  |                  | NO             | NEVER        |                       | YES
